"Time","Eur/Ron (mediu)","USD/Ron (mediu)","ROBOR 3M %"
"2024-Q3","4.9746","4.5278",5.68276923076923
"2024-Q2","4.9751","4.6192",6.04147540983607
"2024-Q1","4.9735","4.5824",6.10596774193548
"2023-Q4","4.9696","4.6214",6.31114754098361
"2023-Q3","4.9493","4.5484",6.42484375
"2023-Q2","4.9481","4.5435",6.64283333333333
"2023-Q1","4.9189","4.5839",7.09936507936508
"2022-Q4","4.9207","4.8288",7.92725806451613
"2022-Q3","4.9144","4.8794",7.68953846153846
"2022-Q2","4.9449","4.6390",5.48524590163934
"2022-Q1","4.9462","4.4067",3.64873015873016
"2021-Q4","4.9486","4.3265",2.513125
"2021-Q3","4.9315","4.1831",1.56166666666667
"2021-Q2","4.9235","4.0859",1.55491803278689
"2021-Q1","4.8782","4.0461",1.64634920634921
"2020-Q4","4.8713","4.0864",2.07825396825397
"2020-Q3","4.8446","4.1440",2.06409090909091
"2020-Q2","4.8367","4.3944",2.391
"2020-Q1","4.7959","4.3512",3.03048387096774
"2019-Q4","4.7665","4.3047",3.0475
"2019-Q3","4.7317","4.2560",3.09430769230769
"2019-Q2","4.7477","4.2229",3.29426229508197
"2019-Q1","4.7351","4.1681",3.1016393442623
"2018-Q4","4.6597","4.0835",3.16857142857143
"2018-Q3","4.6468","3.9949",3.27890625
"2018-Q2","4.6521","3.9021",2.6325
"2018-Q1","4.6553","3.7860",2.03354838709677
"2017-Q4","4.6186","3.9231",1.98360655737705
"2017-Q3","4.5814","3.9015",0.9378125
"2017-Q2","4.5518","4.1395",0.860819672131148
"2017-Q1","4.5206","4.2458",0.827142857142857
"2016-Q4","4.5072","4.1762",0.765645161290323
"2016-Q3","4.4653","4.0001",0.770461538461538
"2016-Q2","4.4980","3.9838",0.764920634920635
"2016-Q1","4.4926","4.0766",0.83203125
"2015-Q4","4.4568","4.0697",1.16380952380952
"2015-Q3","4.4282","3.9807",1.36878787878788
"2015-Q2","4.4439","4.0176",1.34870967741935
"2015-Q1","4.4509","3.9547",1.445
"2014-Q4","4.4344","3.5509",2.08238095238095
"2014-Q3","4.4149","3.3314",2.38953846153846
"2014-Q2","4.4272","3.2281",2.78854838709677
"2014-Q1","4.5019","3.2863",2.90516129032258
"2013-Q4","4.4514","3.2705",2.80875
"2013-Q3","4.4412","3.3524",4.04307692307692
"2013-Q2","4.3981","3.3673",4.36306451612903
"2013-Q1","4.3852","3.3215",5.71677419354839
"2012-Q4","4.5244","3.4888",5.87015873015873
"2012-Q3","4.5218","3.6139",5.60484375
"2012-Q2","4.4248","3.4505",4.88790322580645
"2012-Q1","4.3529","3.3196",5.00238095238095
"2011-Q4","4.3347","3.2174",6.25460317460317
"2011-Q3","4.2575","3.0134",5.74676923076923
"2011-Q2","4.1347","2.8715",5.57079365079365
"2011-Q1","4.2247","3.0921",5.719375
"2010-Q4","4.2885","3.1543",6.51107692307692
"2010-Q3","4.2547","3.2957",6.86787878787879
"2010-Q2","4.1808","3.2888",6.24619047619048
"2010-Q1","4.1156","2.9727",7.36031746031746
"2009-Q4","4.2659","2.8866",10.379375
"2009-Q3","4.2247","2.9542",9.35818181818182
"2009-Q2","4.1923","3.0789",12.0527419354839
"2009-Q1","4.2662","3.2777",15.2811290322581
"2008-Q4","3.8120","2.8930",18.3080952380952
"2008-Q3","3.5771","2.3832",12.4292424242424
"2008-Q2","3.6526","2.3375",11.5306349206349
"2008-Q1","3.6892","2.4617",9.92555555555556
"2007-Q4","3.4507","2.3822",7.98047619047619
"2007-Q3","3.2347","2.3536",7.26046153846154
"2007-Q2","3.2821","2.4351",7.95222222222222
"2007-Q1","3.3818","2.5820",7.99285714285714
"2006-Q4","3.4762","2.6955",9.02887096774194
"2006-Q3","3.5423","2.7798",9.21676923076923
"2006-Q2","3.5155","2.7982",8.64126984126984
"2006-Q1","3.5641","2.9624",8.1825
"2005-Q4","3.6368","3.0579",6.9647619047619
"2005-Q3","3.5272","2.8923",8.56938461538462
"2005-Q2","3.6205","2.8748",9.84031746031746
"2005-Q1","3.7094","2.8297",13.84015625
