Time,ROBOR 3M %
2024-Q3,5.682769231
2024-Q2,6.04147541
2024-Q1,6.105967742
2023-Q4,6.311147541
2023-Q3,6.42484375
2023-Q2,6.642833333
2023-Q1,7.099365079
2022-Q4,7.927258065
2022-Q3,7.689538462
2022-Q2,5.485245902
2022-Q1,3.648730159
2021-Q4,2.513125
2021-Q3,1.561666667
2021-Q2,1.554918033
2021-Q1,1.646349206
2020-Q4,2.078253968
2020-Q3,2.064090909
2020-Q2,2.391
2020-Q1,3.030483871
2019-Q4,3.0475
2019-Q3,3.094307692
2019-Q2,3.294262295
2019-Q1,3.101639344
2018-Q4,3.168571429
2018-Q3,3.27890625
2018-Q2,2.6325
2018-Q1,2.033548387
2017-Q4,1.983606557
2017-Q3,0.9378125
2017-Q2,0.860819672
2017-Q1,0.827142857
2016-Q4,0.765645161
2016-Q3,0.770461538
2016-Q2,0.764920635
2016-Q1,0.83203125
2015-Q4,1.163809524
2015-Q3,1.368787879
2015-Q2,1.348709677
2015-Q1,1.445
2014-Q4,2.082380952
2014-Q3,2.389538462
2014-Q2,2.788548387
2014-Q1,2.90516129
2013-Q4,2.80875
2013-Q3,4.043076923
2013-Q2,4.363064516
2013-Q1,5.716774194
2012-Q4,5.87015873
2012-Q3,5.60484375
2012-Q2,4.887903226
2012-Q1,5.002380952
2011-Q4,6.254603175
2011-Q3,5.746769231
2011-Q2,5.570793651
2011-Q1,5.719375
2010-Q4,6.511076923
2010-Q3,6.867878788
2010-Q2,6.246190476
2010-Q1,7.36031746
2009-Q4,10.379375
2009-Q3,9.358181818
2009-Q2,12.05274194
2009-Q1,15.28112903
2008-Q4,18.30809524
2008-Q3,12.42924242
2008-Q2,11.53063492
2008-Q1,9.925555556
2007-Q4,7.98047619
2007-Q3,7.260461538
2007-Q2,7.952222222
2007-Q1,7.992857143
2006-Q4,9.028870968
2006-Q3,9.216769231
2006-Q2,8.641269841
2006-Q1,8.1825
2005-Q4,6.964761905
2005-Q3,8.569384615
2005-Q2,9.84031746
2005-Q1,13.84015625
