obstime,Euribor 3-month,Libor 3-month
1996-Q1,5.63,5.406189375
1996-Q2,5.136667,5.517728923
1996-Q3,5,5.594815606
1996-Q4,4.586667,5.534150455
1997-Q1,4.44,5.572297302
1997-Q2,4.326667,5.814663846
1997-Q3,4.323333,5.731652424
1997-Q4,4.433333,5.836779077
1998-Q1,4.203333,5.657924444
1998-Q2,4.056667,5.689243231
1998-Q3,3.936667,5.622040758
1998-Q4,3.623333,5.274627344
1999-Q1,3.088634921,5.002448095
1999-Q2,2.634876923,5.071424262
1999-Q3,2.699393939,5.441548308
1999-Q4,3.430630769,6.136706508
2000-Q1,3.548615385,6.115781406
2000-Q2,4.284806452,6.637151967
2000-Q3,4.738815385,6.699062813
2000-Q4,5.028174603,6.698721429
2001-Q1,4.74471875,5.336416094
2001-Q2,4.588548387,4.169774918
2001-Q3,4.277923077,3.463574375
2001-Q4,3.452222222,2.156699531
2002-Q1,3.361467742,1.901199839
2002-Q2,3.446063492,1.918115323
2002-Q3,3.358863636,1.810510154
2002-Q4,3.116203125,1.553982273
2003-Q1,2.685365079,1.332983906
2003-Q2,2.359145161,1.234717903
2003-Q3,2.139106061,1.128641515
2003-Q4,2.1493125,1.166660938
2004-Q1,2.061765625,1.121142656
2004-Q2,2.083444444,1.309262787
2004-Q3,2.11630303,1.754077231
2004-Q4,2.164,2.296074531
2005-Q1,2.140354839,2.839651967
2005-Q2,2.124446154,3.286927619
2005-Q3,2.130545455,3.775043692
2005-Q4,2.34371875,4.334676032
2006-Q1,2.6136,4.765441875
2006-Q2,2.89566129,5.223642131
2006-Q3,3.221507692,5.433034375
2006-Q4,3.590190476,5.368866825
2007-Q1,3.820390625,5.355399688
2007-Q2,4.067790323,5.35799541
2007-Q3,4.493738462,5.443917656
2007-Q4,4.718390625,5.033506875
2008-Q1,4.476274194,3.288630161
2008-Q2,4.859265625,2.752432698
2008-Q3,4.981727273,2.908088462
2008-Q4,4.242375,2.771015938
2009-Q1,2.006793651,1.240439206
2009-Q2,1.307967742,0.840422131
2009-Q3,0.870909091,0.413812154
2009-Q4,0.722,0.268324063
2010-Q1,0.66131746,0.256929365
2010-Q2,0.687587302,0.438617541
2010-Q3,0.874939394,0.388472923
2010-Q4,1.020833333,0.292804375
2011-Q1,1.09584375,0.307939841
2011-Q2,1.415936508,0.262187833
2011-Q3,1.561363636,0.298528769
2011-Q4,1.495375,0.477892381
2012-Q1,1.042907692,0.513504688
2012-Q2,0.694290323,0.46632
2012-Q3,0.361630769,0.425125781
2012-Q4,0.19578125,0.317558594
2013-Q1,0.211225806,0.292022581
2013-Q2,0.206650794,0.275037903
2013-Q3,0.223484848,0.261576154
2013-Q4,0.239921875,0.241276563
2014-Q1,0.295222222,0.23589127
2014-Q2,0.298080645,0.228222131
2014-Q3,0.164772727,0.234272308
2014-Q4,0.081515625,0.236182031
2015-Q1,0.04568254,0.260502381
2015-Q2,-0.006704918,0.279509016
2015-Q3,-0.027681818,0.313627692
2015-Q4,-0.0892,0.407160156
2016-Q1,-0.186725806,0.624841129
2016-Q2,-0.258230769,0.643156349
2016-Q3,-0.298181818,0.786775077
2016-Q4,-0.312484375,0.91976381
2017-Q1,-0.327830769,1.070779375
2017-Q2,-0.329919355,1.205547541
2017-Q3,-0.329615385,1.314982344
2017-Q4,-0.328857143,1.459098889
2018-Q1,-0.328285714,1.925100159
2018-Q2,-0.325190476,2.338255645
2018-Q3,-0.319538462,2.336996719
2018-Q4,-0.315515625,2.622555625
2019-Q1,-0.308539683,2.687057778
2019-Q2,-0.316903226,2.506656066
2019-Q3,-0.395909091,2.197593077
2019-Q4,-0.403390625,1.931770156
2020-Q1,-0.4054375,1.52913375
2020-Q2,-0.303096774,0.591970645
2020-Q3,-0.47119697,0.252698939
2020-Q4,-0.522723077,0.225513636
2021-Q1,-0.542285714,0.20101
2021-Q2,-0.540460317,0.156443438
2021-Q3,-0.545818182,0.126009697
2021-Q4,-0.566863636,0.165434242
2022-Q1,-0.5279375,0.520059531
2022-Q2,-0.35331746,1.518103846
2022-Q3,0.486166667,3.00916
2022-Q4,1.772953125,4.515338615
2023-Q1,2.635953846,4.917852154
2023-Q2,3.362415385,5.389199692
2023-Q3,3.777476923,5.629939692
2023-Q4,3.957830769,5.642401385
2024-Q1,3.923640625,5.580706923
2024-Q2,3.810830769,5.591110308
2024-Q3,3.559181818,5.347174615
2024-Q4,na,na
