"","title","code","type","last.update.of.data","last.table.structure.change","data.start","data.end","values","hierarchy"
"1","Ratio of the proportion of tertiary students over the proportion of the population by NUTS 1 and NUTS 2 region","educ_uoe_enrt05","dataset","26.07.2024","23.05.2024","2013","2022",3864,5
"2","Employment in technology and knowledge-intensive sectors by NUTS 1 region and type of occupation (1994-2008, NACE Rev. 1.1)","htec_emp_risco","dataset","15.02.2023","10.01.2024","1999","2008",294702,5
"3","Employment in technology and knowledge-intensive sectors by NUTS 1 region and type of occupation (from 2008 onwards, NACE Rev. 2)","htec_emp_risco2","dataset","12.09.2024","24.04.2024","2008","2023",616276,5
"4","Employment in technology and knowledge-intensive sectors by NUTS 1 region and level of education (1994-2008, NACE Rev. 1.1)","htec_emp_risced","dataset","15.02.2023","10.01.2024","1999","2008",322090,5
"5","Employment in technology and knowledge-intensive sectors by NUTS 1 region and level of education (from 2008 onwards, NACE Rev. 2)","htec_emp_risced2","dataset","12.09.2024","24.04.2024","2008","2023",662712,5
"6","HRST by category, sex and NUTS 1 region","hrst_st_rsex","dataset","12.09.2024","24.04.2024","1999","2023",167883,5
"7","HRST by category, age and NUTS 1 region","hrst_st_rage","dataset","12.09.2024","24.04.2024","1999","2023",335587,5
"8","Employed HRST by category, NACE Rev. 1.1 activity and NUTS 1 region (1994 - 2007)","hrst_st_rsec","dataset","14.04.2021","10.01.2024","1999","2008",381086,5
"9","Employed HRST by category, NACE Rev. 2 activity and NUTS 1 region","hrst_st_rsec2","dataset","12.09.2024","24.04.2024","2008","2023",787508,5
"10","Short-stay accommodation offered via collaborative economy platforms by months, residence of the guest and NUTS 1 and NUTS 2 region - experimental statistics","tour_ce_omn12","dataset","03.10.2024","03.10.2024","2018","2024",280569,5
"11","Guest nights spent at short-stay accommodation offered via collaborative economy platforms by NUTS 1 and NUTS 2 region, by world region of residence of the guest - experimental statistics","tour_ce_oaw","dataset","28.07.2024","28.07.2024","2018","2023",20710,5
"12","Mean annual earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L","earn_ses06_rann","dataset","03.02.2015","03.01.2024","2006","2006",100,5
"13","Mean hourly earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L","earn_ses06_rhr","dataset","03.02.2015","03.01.2024","2006","2006",91,5
"14","Mean hourly earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O","earn_ses10_rhr","dataset","09.06.2016","10.01.2024","2010","2010",612,5
"15","Mean annual earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O","earn_ses10_rann","dataset","23.02.2016","10.01.2024","2010","2010",102,5
"16","Labour cost, wages and salaries, direct remuneration by NACE Rev. 2 activity and NUTS 1 region","lc_rcost_r2","dataset","05.10.2023","10.01.2024","2008","2020",952914,5
"17","Structure of labour cost by NACE Rev. 2 activity and NUTS 1 region - % of total cost","lc_rstruc_r2","dataset","05.10.2023","10.01.2024","2008","2020",615298,5
"18","Number of employees and hours worked, by working time, NACE Rev. 2 activity and NUTS 1 region","lc_rnum1_r2","dataset","05.10.2023","10.01.2024","2008","2020",453801,5
"19","Average hours worked per employee, by working time, NACE Rev. 2 activity and NUTS 1 region","lc_rnum2_r2","dataset","05.10.2023","10.01.2024","2008","2020",173565,5
"20","Number of statistical units, by NACE Rev. 2 activity and NUTS 1 region","lc_rstu_r2","dataset","01.12.2022","10.01.2024","2008","2020",78698,5
"21","Labour cost, wages and salaries, direct remuneration by NACE Rev. 1.1 activity and NUTS 1 region - LCS survey 2004","lc_r04cost","dataset","09.03.2011","07.06.2024","2004","2004",170572,5
"22","Structure of labour cost by NACE Rev. 1.1 activity and NUTS 1 region - % of total cost, LCS survey 2004","lc_r04struc","dataset","09.03.2011","07.06.2024","2004","2004",75156,5
