country,time
Belgium,2001
Bulgaria,2001
Czechia,2001
Denmark,2001
Germany (until 1990 former territory of the FRG),2001
Estonia,2001
Ireland,2001
Greece,2001
Spain,2001
France,2001
Croatia,2001
Italy,2001
Cyprus,2001
Latvia,2001
Lithuania,2001
Luxembourg,2001
Hungary,2001
Malta,2001
Netherlands,2001
Austria,2001
Poland,2001
Portugal,2001
Romania,2001
Slovenia,2001
Slovakia,2001
Finland,2001
Sweden,2001
United Kingdom,2001
Belgium,2002
Bulgaria,2002
Czechia,2002
Denmark,2002
Germany (until 1990 former territory of the FRG),2002
Estonia,2002
Ireland,2002
Greece,2002
Spain,2002
France,2002
Croatia,2002
Italy,2002
Cyprus,2002
Latvia,2002
Lithuania,2002
Luxembourg,2002
Hungary,2002
Malta,2002
Netherlands,2002
Austria,2002
Poland,2002
Portugal,2002
Romania,2002
Slovenia,2002
Slovakia,2002
Finland,2002
Sweden,2002
United Kingdom,2002
Belgium,2003
Bulgaria,2003
Czechia,2003
Denmark,2003
Germany (until 1990 former territory of the FRG),2003
Estonia,2003
Ireland,2003
Greece,2003
Spain,2003
France,2003
Croatia,2003
Italy,2003
Cyprus,2003
Latvia,2003
Lithuania,2003
Luxembourg,2003
Hungary,2003
Malta,2003
Netherlands,2003
Austria,2003
Poland,2003
Portugal,2003
Romania,2003
Slovenia,2003
Slovakia,2003
Finland,2003
Sweden,2003
United Kingdom,2003
Belgium,2004
Bulgaria,2004
Czechia,2004
Denmark,2004
Germany (until 1990 former territory of the FRG),2004
Estonia,2004
Ireland,2004
Greece,2004
Spain,2004
France,2004
Croatia,2004
Italy,2004
Cyprus,2004
Latvia,2004
Lithuania,2004
Luxembourg,2004
Hungary,2004
Malta,2004
Netherlands,2004
Austria,2004
Poland,2004
Portugal,2004
Romania,2004
Slovenia,2004
Slovakia,2004
Finland,2004
Sweden,2004
United Kingdom,2004
Belgium,2005
Bulgaria,2005
Czechia,2005
Denmark,2005
Germany (until 1990 former territory of the FRG),2005
Estonia,2005
Ireland,2005
Greece,2005
Spain,2005
France,2005
Croatia,2005
Italy,2005
Cyprus,2005
Latvia,2005
Lithuania,2005
Luxembourg,2005
Hungary,2005
Malta,2005
Netherlands,2005
Austria,2005
Poland,2005
Portugal,2005
Romania,2005
Slovenia,2005
Slovakia,2005
Finland,2005
Sweden,2005
United Kingdom,2005
Belgium,2006
Bulgaria,2006
Czechia,2006
Denmark,2006
Germany (until 1990 former territory of the FRG),2006
Estonia,2006
Ireland,2006
Greece,2006
Spain,2006
France,2006
Croatia,2006
Italy,2006
Cyprus,2006
Latvia,2006
Lithuania,2006
Luxembourg,2006
Hungary,2006
Malta,2006
Netherlands,2006
Austria,2006
Poland,2006
Portugal,2006
Romania,2006
Slovenia,2006
Slovakia,2006
Finland,2006
Sweden,2006
United Kingdom,2006
Belgium,2007
Bulgaria,2007
Czechia,2007
Denmark,2007
Germany (until 1990 former territory of the FRG),2007
Estonia,2007
Ireland,2007
Greece,2007
Spain,2007
France,2007
Croatia,2007
Italy,2007
Cyprus,2007
Latvia,2007
Lithuania,2007
Luxembourg,2007
Hungary,2007
Malta,2007
Netherlands,2007
Austria,2007
Poland,2007
Portugal,2007
Romania,2007
Slovenia,2007
Slovakia,2007
Finland,2007
Sweden,2007
United Kingdom,2007
Belgium,2008
Bulgaria,2008
Czechia,2008
Denmark,2008
Germany (until 1990 former territory of the FRG),2008
Estonia,2008
Ireland,2008
Greece,2008
Spain,2008
France,2008
Croatia,2008
Italy,2008
Cyprus,2008
Latvia,2008
Lithuania,2008
Luxembourg,2008
Hungary,2008
Malta,2008
Netherlands,2008
Austria,2008
Poland,2008
Portugal,2008
Romania,2008
Slovenia,2008
Slovakia,2008
Finland,2008
Sweden,2008
United Kingdom,2008
Belgium,2009
Bulgaria,2009
Czechia,2009
Denmark,2009
Germany (until 1990 former territory of the FRG),2009
Estonia,2009
Ireland,2009
Greece,2009
Spain,2009
France,2009
Croatia,2009
Italy,2009
Cyprus,2009
Latvia,2009
Lithuania,2009
Luxembourg,2009
Hungary,2009
Malta,2009
Netherlands,2009
Austria,2009
Poland,2009
Portugal,2009
Romania,2009
Slovenia,2009
Slovakia,2009
Finland,2009
Sweden,2009
United Kingdom,2009
Belgium,2010
Bulgaria,2010
Czechia,2010
Denmark,2010
Germany (until 1990 former territory of the FRG),2010
Estonia,2010
Ireland,2010
Greece,2010
Spain,2010
France,2010
Croatia,2010
Italy,2010
Cyprus,2010
Latvia,2010
Lithuania,2010
Luxembourg,2010
Hungary,2010
Malta,2010
Netherlands,2010
Austria,2010
Poland,2010
Portugal,2010
Romania,2010
Slovenia,2010
Slovakia,2010
Finland,2010
Sweden,2010
United Kingdom,2010
Belgium,2011
Bulgaria,2011
Czechia,2011
Denmark,2011
Germany (until 1990 former territory of the FRG),2011
Estonia,2011
Ireland,2011
Greece,2011
Spain,2011
France,2011
Croatia,2011
Italy,2011
Cyprus,2011
Latvia,2011
Lithuania,2011
Luxembourg,2011
Hungary,2011
Malta,2011
Netherlands,2011
Austria,2011
Poland,2011
Portugal,2011
Romania,2011
Slovenia,2011
Slovakia,2011
Finland,2011
Sweden,2011
United Kingdom,2011
Belgium,2012
Bulgaria,2012
Czechia,2012
Denmark,2012
Germany (until 1990 former territory of the FRG),2012
Estonia,2012
Ireland,2012
