code_name,,indicator_name
LFSA_ERGAED,,employment rate
UNE_RT_A,,unemployment rate
ILC_LVHL30,,flows into employment
ILC_LVHL30,,flows out of employment
UNE_LTU_A,,long-term unemployment
YTH_EMPL_010,,employment rate youth
LFSA_ERGAED,,employment rate women
LFSI_NEET_A,,NEET
JVS_A_RATE_R2,,job vacancy rate
PRC_PPP_IND,,GDP per capita
PRC_HICP_AIND,,inflation rate
EARN_MW_AVGR1,,minimum wage (%of mean wage)-2009
EARN_MW_AVGR2,,minimum wage (%of mean wage)-2010
NAMA_10_GDP,,imports
NAMA_10_GDP,,exports
