"code_name","full_name","indicator_name"
"LFSA_ERGAED","Employment rates by sex, age and educational attainment level (%)","employment rate"
"UNE_RT_A","Unemployment by sex and age – annual data","unemployment rate"
"ILC_LVHL30","Labour transitions by employment status","flows into employment"
"ILC_LVHL30","Labour transitions by employment status","flows out of employment"
"UNE_LTU_A","Long-term unemployment by sex - annual data","long-term unemployment"
"YTH_EMPL_010","Youth employment by sex, age and educational attainment level","employment rate youth"
"LFSA_ERGAED","Employment rates by sex, age and educational attainment level (%)","employment rate women"
"LFSI_NEET_A","Young people neither in employment nor in education and training (NEET), by sex and age - annual data","NEET"
"JVS_A_RATE_R2","Job vacancy rate by NACE Rev. 2 activity - annual data","job vacancy rate"
"PRC_PPP_IND","Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates","GDP per capita"
"PRC_HICP_AIND","HICP - annual data (average index and rate of change)","inflation rate"
"EARN_MW_AVGR1","Monthly minimum wage as a proportion of average monthly earnings (%) - NACE Rev. 1.1 (1999-2009)","minimum wage (%of mean wage)-2009"
"EARN_MW_AVGR2","Monthly minimum wage as a proportion of average monthly earnings (%) - NACE Rev. 2 (from 2008 onwards)","minimum wage (%of mean wage)-2010"
"NAMA_10_GDP","GDP and main components (output, expenditure and income)","imports"
"NAMA_10_GDP","GDP and main components (output, expenditure and income)","exports"
