"country","time","employmentTotalY15-64","unemploymentTotalY15-64","employmentInflows","employmentOutflows","unemploymentLT","unemploymentYouth1524","unemploymentYouth1529","employmentWomen","NEET 15-24","NEET 15-24","jobVacancy","GDPcapita","inflation","minWage1","minWage2","minWageMedian1","minWageMedian2","imports","exports","GDP"
"Belgium",2001,59.7,na,na,na,na,28.5,45.8,59.7,na,na,na,121,76.78,47.5,na,54,na,179654.9,189295.4,264334.9
"Bulgaria",2001,50.7,na,na,na,na,21.1,34.2,50.7,na,na,na,30,58.06,35.4,na,na,na,7030.1,5548,15905.3
"Czechia",2001,65,na,na,na,na,34.4,48.3,65,na,na,na,74,77.1,34.2,na,na,na,37970.7,36986.9,75705.2
"Denmark",2001,75.9,na,na,na,na,61.7,69.3,75.9,na,na,na,124,79.3,na,na,na,na,70699.4,83841,184045.6
"Germany (until 1990 former territory of the FRG)",2001,65.7,na,na,na,na,46.5,56,65.7,na,na,na,121,80.4,na,na,na,na,656501,691839,2172540
"Estonia",2001,60.6,na,na,na,na,27.6,44.3,60.6,na,na,na,43,61.5,na,na,na,na,4555.9,4279.7,6987.1
"Ireland",2001,65.2,na,na,na,na,46.8,58.6,65.2,na,na,na,137,80.2,na,na,na,na,97202.9,116258.7,122089.2
"Greece",2001,56.5,na,na,na,na,26.2,41.3,56.5,na,na,na,88,73.59,52.9,na,63.2,na,50758.5,34683.1,152193.8
"Spain",2001,57.7,na,na,na,na,33.6,47.6,57.7,na,na,na,97,73.23,34.2,na,na,na,211248,195308,700993
"France",2001,62.7,na,na,na,na,29.3,46.2,62.7,na,na,na,116,79.62,na,na,na,na,410599,434786,1538200
"Croatia",2001,na,na,na,na,na,na,na,na,na,na,na,49,72.28,na,na,na,na,10968.6,9623,25947.3
"Italy",2001,54.5,na,na,na,na,26.2,39.9,54.5,na,na,na,118,75.9,na,na,na,na,318024.1,334498.2,1304136.8
"Cyprus",2001,67.9,na,na,na,na,39,55.4,67.9,na,na,na,96,76.4,na,na,na,na,7384.1,7914.2,11602.9
"Latvia",2001,58.1,na,na,na,na,28.3,42.4,58.1,na,na,na,38,56.58,39.7,na,na,na,4534.2,3562.4,9374.4
"Lithuania",2001,58.1,na,na,na,na,22.6,39.1,58.1,na,na,na,40,69.74,44.7,na,na,na,6773.3,6025.7,13664.6
"Luxembourg",2001,63,na,na,na,na,32.3,51,63,na,na,na,236,72.12,na,na,na,na,29745.9,34912.6,23879.9
"Hungary",2001,56.1,na,na,na,na,30.4,44.7,56.1,na,na,na,56,56.67,na,na,na,na,39709.2,38934.7,60012.9
"Malta",2001,54.7,na,na,na,na,53,60.4,54.7,na,na,na,78,74.16,36.9,na,47,na,5151.5,4960.2,4565.5
"Netherlands",2001,74.1,na,na,na,na,70.4,76.6,74.1,na,na,na,140,78.32,na,na,na,na,273421,305023,481881
"Austria",2001,67.8,na,na,na,na,51.4,62.5,67.8,na,na,na,125,76.74,na,na,na,na,94647.4,98392.9,220525.1
"Poland",2001,53.7,na,na,na,na,24.2,38.1,53.7,na,na,na,47,73.8,na,na,na,na,65913.5,57863.9,212834.1
"Portugal",2001,68.9,na,na,na,na,42.4,56.7,68.9,na,na,na,82,76.41,43.3,na,na,na,51125.6,37253,135775
"Romania",2001,63.3,na,na,na,na,32.6,46,63.3,na,na,na,27,37.66,30.9,na,na,na,13463,9979.4,45143.6
"Slovenia",2001,63.6,na,na,na,na,30.3,48,63.6,na,na,na,80,67.33,44.5,na,na,na,12272.6,12030.6,23249.1
"Slovakia",2001,56.7,na,na,na,na,27.7,40.4,56.7,na,na,na,52,65.9,na,na,na,na,15436.5,13656.9,23909.8
"Finland",2001,69.1,na,na,na,na,46.2,56.1,69.1,na,na,na,117,78.84,na,na,na,na,44130,57510,144628
"Sweden",2001,74.4,na,na,na,na,46.2,58.2,74.4,na,na,na,126,81.92,na,na,na,na,101899.9,116111.1,270524.5
"United Kingdom",2001,71.3,na,na,na,na,55.5,64.3,71.3,na,na,na,117,73.6,33,na,42.8,na,502862.3,461191.2,1830567.5
"Belgium",2002,59.7,na,na,na,na,28.5,45.8,59.7,na,na,na,122,77.97,47.6,na,54.2,na,178310,193550.7,273255.9
"Bulgaria",2002,51.1,na,na,na,na,20.5,33.6,51.1,na,na,na,31,61.44,38.8,na,na,na,7274.9,5881,17478.3
"Czechia",2002,65.5,na,na,na,na,32.4,48.2,65.5,na,na,na,73,78.2,36.9,na,na,na,40473.5,39314.8,87358.2
"Denmark",2002,76.4,na,na,na,na,64,70.9,76.4,na,na,na,123,81.2,na,na,na,na,73740.1,86744.8,189794.9
"Germany (until 1990 former territory of the FRG)",2002,65.4,na,na,na,na,45.4,54.7,65.4,na,na,na,119,81.5,na,na,na,na,622998,716424,2198120
"Estonia",2002,61.4,na,na,na,na,25.4,42.4,61.4,na,na,na,47,63.71,30.5,na,na,na,5113,4533.6,7822.6
"Ireland",2002,65.1,na,na,na,na,44.9,57.2,65.1,na,na,na,142,84,na,na,na,na,99645.5,123009.4,135997.6
"Greece",2002,57.6,na,na,na,na,26.9,42.4,57.6,na,na,na,91,76.48,54.7,na,65.3,na,49424.2,32876.6,163460.8
"Spain",2002,59,na,na,na,na,34.3,48.7,59,na,na,na,98,75.86,33.5,na,na,na,213961,199036,749552
"France",2002,62.9,na,na,na,na,29.9,46,62.9,na,na,na,115,81.16,na,na,na,na,405547,437146,1587829
"Croatia",2002,52.9,na,na,na,na,25.7,39,52.9,na,na,na,51,74.11,na,na,na,na,13019.7,10310.8,28749.8
"Italy",2002,55.4,na,na,na,na,25.7,40.3,55.4,na,na,na,116,77.9,na,na,na,na,319342.4,329564,1350258.9
"Cyprus",2002,68.5,na,na,na,na,36.7,54.8,68.5,na,na,na,95,78.53,na,na,na,na,7399.1,7540.4,12082.9
"Latvia",2002,59.6,na,na,na,na,28.3,42.5,59.6,na,na,na,41,57.69,37.4,na,na,na,4745.4,3715.6,10168.7
"Lithuania",2002,60.6,na,na,na,na,25.2,41,60.6,na,na,na,42,69.98,43.7,na,na,na,8044.4,7183.2,15153.3
"Luxembourg",2002,63.6,na,na,na,na,32.3,51.4,63.6,na,na,na,236,73.6,45.5,na,54.5,na,28594.6,34105.6,25011.1
"Hungary",2002,56.2,na,na,na,na,28.6,44.2,56.2,na,na,na,59,59.64,42.1,na,na,na,43185.1,41716.8,71756.1
"Malta",2002,55,na,na,na,na,51.1,58.9,55,na,na,na,79,76.1,44.9,na,55.2,na,5238.9,5376.3,4740.9
"Netherlands",2002,74.5,na,na,na,na,70.5,76,74.5,na,na,na,139,81.35,49.3,na,na,na,267151,301426,501137
"Austria",2002,68.1,na,na,na,na,51.8,62.2,68.1,na,na,na,126,78.04,na,na,na,na,94387.1,102755,226735.2
"Poland",2002,51.7,na,na,na,na,22,36.2,51.7,na,na,na,48,75.2,33,na,na,na,67956.7,60458.3,210560
"Portugal",2002,69.1,na,na,na,na,42.2,57.1,69.1,na,na,na,82,79.24,43,na,57.7,na,50228.8,38594.2,142554.3
"Romania",2002,58.6,na,na,na,na,29.1,42.9,58.6,na,na,na,29,46.14,31.3,na,na,na,14461.3,11693.3,48695.7
"Slovenia",2002,64.3,na,na,na,na,31.1,48.4,64.3,na,na,na,82,72.37,45.3,na,na,na,12818.3,13065.8,24972.4
"Slovakia",2002,56.5,na,na,na,na,26.7,40.7,56.5,na,na,na,54,68.21,32.4,na,na,na,16700.9,15006.4,26340.7
"Finland",2002,69.1,na,na,na,na,44.8,55.5,69.1,na,na,na,115,80.42,na,na,na,na,44790,58110,148486
"Sweden",2002,74,na,na,na,na,44,56.4,74,na,na,na,125,83.51,na,na,na,na,102025.1,116987.9,283627.1
"United Kingdom",2002,71.2,na,na,na,na,55.6,64,71.2,na,na,na,117,74.5,34.6,na,45.4,na,508310.7,457548.1,1888699.6
"Belgium",2003,59.3,na,na,na,na,27.1,44.5,59.3,na,na,na,122,79.16,46.2,na,53.4,na,179065.6,194130.8,281200.2
"Bulgaria",2003,53.1,na,na,na,na,21.3,34.7,53.1,na,na,na,33,62.88,40.4,na,na,na,8383.5,6469.8,18798.3
"Czechia",2003,64.9,na,na,na,na,29.8,47.2,64.9,na,na,na,77,78.2,38.1,na,na,na,42774.2,41428.9,88659.5
"Denmark",2003,75.1,na,na,na,na,59.4,66.1,75.1,na,na,na,121,82.7,na,na,na,na,71624.5,84763.1,193353.4
"Germany (until 1990 former territory of the FRG)",2003,64.9,na,na,na,na,44,53.1,64.9,na,na,na,119,82.4,na,na,na,na,642187,725654,2211570
"Estonia",2003,62.4,na,na,na,na,28.8,43.2,62.4,na,na,na,51,64.59,32.4,na,na,na,5737.6,4998.5,8744.4
"Ireland",2003,65.1,na,na,na,na,45.4,57.3,65.1,na,na,na,143,87.3,43.4,na,53.8,na,95630.8,117685.2,145576.4
"Greece",2003,58.7,na,na,na,na,26,42.5,58.7,na,na,na,94,79.12,48.8,na,60.7,na,53037.2,33177.2,178904.9
"Spain",2003,60.1,na,na,na,na,34.5,49.8,60.1,na,na,na,98,78.21,32.9,na,na,na,223309,205612,802266
"France",2003,64,8.5,na,na,27.6,30.7,46.2,64,8.3,10.6,na,111,82.93,na,na,na,na,402544,425799,1630666
"Croatia",2003,53.4,na,na,na,na,24.7,37.9,53.4,na,na,na,54,75.88,na,na,na,na,14244,11027.5,30992.8
"Italy",2003,56.1,na,na,na,na,25.4,40.5,56.1,na,na,na,115,80.1,na,na,na,na,318640.7,324994.1,1394693.2
"Cyprus",2003,69.2,na,na,na,na,37.5,54.5,69.2,na,na,na,95,81.65,na,na,na,na,7239.1,7434.7,12871.3
"Latvia",2003,60.3,na,na,na,na,30.9,44,60.3,na,na,na,43,59.39,39.9,na,na,na,5099.1,3784.7,10499.6
"Lithuania",2003,62.8,na,na,na,na,23.7,40.4,62.8,na,na,na,47,69.22,42.1,na,na,na,8660.4,7695.9,16650.2
"Luxembourg",2003,62.2,na,na,na,na,27,47.5,62.2,na,na,na,236,75.47,46.6,na,55.9,na,29408.6,34842.4,26227.3
"Hungary",2003,57,na,na,na,na,26.7,43.4,57,na,na,na,61,62.43,42.2,na,na,na,45471.7,42499.3,75442.8
"Malta",2003,54.6,na,na,na,na,49.6,57.1,54.6,na,na,na,82,77.56,48.2,na,56.5,na,5323.7,5186.3,4823.5
"Netherlands",2003,73.8,na,na,na,na,68.7,74.8,73.8,na,na,na,134,83.16,47.7,na,na,na,269922,304015,512810
"Austria",2003,68.2,na,na,na,na,50.6,60.9,68.2,na,na,na,126,79.05,na,na,na,na,96957.9,103342.1,231862.5
"Poland",2003,51.4,na,na,na,na,21.2,35.7,51.4,na,na,na,48,75.7,33.9,na,na,na,69503.1,64217,192552.1
"Portugal",2003,68.1,na,na,na,na,38.8,54.5,68.1,na,na,na,82,81.8,40.7,na,58,na,49329.7,39974.7,146067.9
"Romania",2003,58.7,na,na,na,na,27.3,41.8,58.7,na,na,na,30,53.18,37.3,na,na,na,16337.8,12374.8,51108.5
"Slovenia",2003,62.5,na,na,na,na,28.6,45.6,62.5,na,na,na,83,76.46,45.8,na,na,na,13470.5,13387.2,26247.5
"Slovakia",2003,57.9,na,na,na,na,27.3,41.2,57.9,na,na,na,56,73.96,34,na,na,na,18918.8,18774.5,30119.1
"Finland",2003,68.7,na,na,na,na,44.3,54.8,68.7,na,na,na,114,81.46,na,na,na,na,46640,56634,151749
"Sweden",2003,73.6,na,na,na,na,43.4,55.5,73.6,na,na,na,125,85.44,na,na,na,na,103469.6,119487.3,296305.5
"United Kingdom",2003,71.4,na,na,na,na,54.2,62.7,71.4,na,na,na,119,75.5,34.5,na,44.9,na,474944.7,434319.9,1815326.8
"Belgium",2004,60.5,na,na,na,na,28.1,45.2,60.5,na,na,na,120,80.63,45.5,na,52.4,na,195937,210463.8,296819.7
"Bulgaria",2004,55.1,na,na,na,na,22.3,35.9,55.1,na,na,na,34,66.75,41.4,na,na,na,10991.1,8639.1,21093.2
"Czechia",2004,64.1,na,na,na,na,27.7,45.1,64.1,na,na,na,78,80.2,38.4,na,na,na,54486.6,55091.7,96554.1
"Denmark",2004,76,na,na,na,na,61.3,67.8,76,na,na,na,124,83.5,na,na,na,na,77485.9,88920.9,202422.2
"Germany (until 1990 former territory of the FRG)",2004,64.3,na,na,na,na,41.3,50.6,64.3,na,na,na,119,83.8,na,na,na,na,690359,808022,2262520
"Estonia",2004,63.2,na,na,na,na,29.6,43.6,63.2,na,na,na,54,66.55,34.6,na,na,na,6736.6,5972,9777.5
"Ireland",2004,65.5,na,na,na,na,44.8,57.4,65.5,na,na,na,145,89.3,na,na,na,na,103306.5,125751.1,156260.3
"Greece",2004,59.3,na,na,na,na,27.5,43.6,59.3,na,na,na,95,81.51,47.7,na,61.8,na,56546.3,40114.9,193715.8
"Spain",2004,61.1,na,na,na,na,34.8,50.9,61.1,na,na,na,98,80.6,33.6,na,42.9,na,250201,218400,859437
"France",2004,63.4,8.9,na,na,28,29.4,45.2,63.4,8.7,10.8,na,109,84.86,na,na,na,na,433778,451034,1704019
"Croatia",2004,54.9,na,na,na,na,26.9,39.5,54.9,na,na,na,55,77.51,na,na,na,na,15235.2,12353.9,33774
"Italy",2004,57.8,na,na,na,na,27.7,42.8,57.8,na,na,na,111,81.9,na,na,na,na,340140.4,348699.3,1452319
"Cyprus",2004,69.4,na,na,na,na,37.3,55.1,69.4,na,na,na,97,83.2,na,na,na,na,7946.6,7929.3,13938
"Latvia",2004,60.5,na,na,na,na,28.9,43,60.5,na,na,na,46,63.06,41.9,na,na,na,6357.2,4562.1,11724
"Lithuania",2004,61.8,na,na,na,na,20.6,37.7,61.8,na,na,na,49,70.02,45.4,na,na,na,10172.3,8885.8,18219.4
"Luxembourg",2004,62.5,na,na,na,na,23.3,44.6,62.5,na,na,na,242,77.91,46,na,54.7,na,34248,40517.8,28189.4
"Hungary",2004,56.6,na,na,na,na,23.3,42.1,56.6,na,na,na,61,66.66,41.2,na,na,na,53588,49962.8,83899.5
"Malta",2004,53.3,na,na,na,na,45.1,54.6,53.3,na,na,na,81,79.68,47.4,na,56.4,na,5377.9,5064,4910.4
"Netherlands",2004,73.1,na,na,na,na,66.2,73.1,73.1,na,na,na,134,84.32,46.1,na,na,na,290760,331726,529286
"Austria",2004,65.3,na,na,na,na,48.9,59.1,65.3,na,na,na,127,80.6,na,na,na,na,106451.8,113581.9,242348.3
"Poland",2004,51.4,na,na,na,na,21.1,35.6,51.4,na,na,na,50,78.5,35.1,na,na,na,76699.9,70568.2,206126
"Portugal",2004,67.8,na,na,na,na,36.6,53.2,67.8,na,na,na,81,83.85,40,na,57.6,na,54105.3,42122.6,152248.4
"Romania",2004,58.7,na,na,na,na,28,42.9,58.7,na,na,na,34,59.51,34.4,na,na,na,21069.7,15549.8,60402
"Slovenia",2004,65.6,na,na,na,na,33.8,50.1,65.6,na,na,na,85,79.26,45.9,na,na,na,15646.5,15245.8,27692
"Slovakia",2004,56.7,na,na,na,na,26.3,41,56.7,na,na,na,57,79.49,34.1,na,na,na,24540.4,23998.9,34757.7
"Finland",2004,68.3,na,na,na,na,43.3,54.1,68.3,na,na,na,117,81.58,na,na,na,na,51350,61305,158758
"Sweden",2004,72.4,na,na,na,na,39.5,52,72.4,na,na,na,127,86.32,na,na,na,na,111356.9,132418.7,310182
"United Kingdom",2004,71.6,na,na,na,na,55,63,71.6,na,na,na,120,76.5,36.5,na,46.7,na,511706.9,461911.7,1941265.1
"Belgium",2005,61.1,na,na,na,na,27.5,45.2,61.1,na,na,na,120,82.67,45.7,na,52.9,na,217789.7,230304.7,310037.6
"Bulgaria",2005,55.8,na,na,na,na,21.6,35.6,55.8,na,na,na,37,70.78,46.6,na,na,na,13747.1,10224.1,24039.9
"Czechia",2005,64.8,na,na,na,na,27.5,45.3,64.8,na,na,na,80,81.5,39.1,na,na,na,65624.6,68193.4,110321.7
"Denmark",2005,75.9,na,na,na,na,62.3,68.1,75.9,na,na,na,124,85,na,na,na,na,89278.1,100993.5,212832.4
"Germany (until 1990 former territory of the FRG)",2005,65.5,na,na,na,na,41.9,51.1,65.5,na,na,na,117,85.5,na,na,na,na,751919,870921,2288310
"Estonia",2005,64.8,na,na,na,na,30.7,45.2,64.8,na,na,na,60,69.29,33.2,na,na,na,7997.4,7422.5,11343.3
"Ireland",2005,67.6,na,na,na,na,48.7,60.6,67.6,na,na,na,147,91.3,na,na,na,na,116912,135441,170306.8
"Greece",2005,59.6,na,na,na,na,25,42.6,59.6,na,na,na,93,84.35,48.7,na,65.8,na,58953.1,42463,199242.3
"Spain",2005,63.6,na,na,na,na,38.5,54.1,63.6,na,na,na,100,83.33,35.1,na,45.2,na,276195,231647,927357
"France",2005,63.8,8.9,na,na,28.8,30.4,45.7,63.8,9,10.9,na,111,86.47,na,na,na,na,475870,477378,1765905
"Croatia",2005,55,na,na,na,na,25.8,39.4,55,na,na,na,56,79.83,na,na,na,na,16605.6,13400.3,36801.1
"Italy",2005,57.6,na,na,na,na,25.7,40.5,57.6,na,na,na,109,83.7,na,na,na,na,368926.7,367450.6,1493635.3
"Cyprus",2005,68.5,na,na,na,na,36.7,53.8,68.5,na,na,na,101,84.88,na,na,na,na,8455.8,8375.7,15039.3
"Latvia",2005,62.1,na,na,na,na,32.2,44.9,62.1,na,na,na,50,67.4,36.2,na,na,na,7898,5926.3,13791.9
"Lithuania",2005,62.9,na,na,na,na,21.2,39.1,62.9,na,na,na,53,71.89,44.9,na,na,na,13081.8,11566.2,20979.9
"Luxembourg",2005,63.6,na,na,na,na,24.9,45.1,63.6,na,na,na,249,80.85,46.8,na,56.3,na,39441.9,46579.5,30281
"Hungary",2005,56.9,na,na,na,na,21.8,41.1,56.9,na,na,na,62,68.98,41.3,na,na,na,59480.1,56945.3,91110.9
"Malta",2005,53.6,na,na,na,na,45,55.7,53.6,na,na,na,81,81.69,50.5,na,57.4,na,5874.5,5336.5,5152.1
"Netherlands",2005,70.6,na,na,na,na,59.3,67.5,70.6,na,na,na,136,85.57,45.5,na,na,na,314965,361556,550883
"Austria",2005,67.4,na,na,na,na,51.6,61.1,67.4,na,na,na,127,82.3,na,na,na,na,115385.8,123530.7,254075
"Poland",2005,52.8,na,na,na,na,22.5,37.7,52.8,na,na,na,50,80.2,33.7,na,na,na,88438.5,85219.5,246216.8
"Portugal",2005,67.3,na,na,na,na,35.3,51.7,67.3,na,na,na,82,85.64,40.5,na,57.5,na,56857.5,42942.7,158552.7
"Romania",2005,57.6,na,na,na,na,24.9,40.5,57.6,na,na,na,35,64.9,32.6,na,na,na,27590,19437.8,79223.9
