Activitati ale industriei CAEN Rev.2 - total  sectiuni si diviziuni  mari grupe industriale, Luni, UM: Procente, Valoare
TOTAL, Luna ianuarie 2005, Procente, 52.2
TOTAL, Luna februarie 2005, Procente, 53.2
TOTAL, Luna martie 2005, Procente, 60.2
TOTAL, Luna aprilie 2005, Procente, 57.6
TOTAL, Luna mai 2005, Procente, 55.6
TOTAL, Luna iunie 2005, Procente, 58.7
TOTAL, Luna iulie 2005, Procente, 55.7
TOTAL, Luna august 2005, Procente, 54.6
TOTAL, Luna septembrie 2005, Procente, 60.8
TOTAL, Luna octombrie 2005, Procente, 59.9
TOTAL, Luna noiembrie 2005, Procente, 63
TOTAL, Luna decembrie 2005, Procente, 56.3
TOTAL, Luna ianuarie 2006, Procente, 55
TOTAL, Luna februarie 2006, Procente, 57
TOTAL, Luna martie 2006, Procente, 64.7
TOTAL, Luna aprilie 2006, Procente, 58.4
TOTAL, Luna mai 2006, Procente, 64.9
TOTAL, Luna iunie 2006, Procente, 65.6
TOTAL, Luna iulie 2006, Procente, 62.1
TOTAL, Luna august 2006, Procente, 59.4
TOTAL, Luna septembrie 2006, Procente, 66.8
TOTAL, Luna octombrie 2006, Procente, 69.3
TOTAL, Luna noiembrie 2006, Procente, 69.1
TOTAL, Luna decembrie 2006, Procente, 59.5
TOTAL, Luna ianuarie 2007, Procente, 61.7
TOTAL, Luna februarie 2007, Procente, 65.3
TOTAL, Luna martie 2007, Procente, 74.7
TOTAL, Luna aprilie 2007, Procente, 64.2
TOTAL, Luna mai 2007, Procente, 72.3
TOTAL, Luna iunie 2007, Procente, 70.9
TOTAL, Luna iulie 2007, Procente, 70.4
TOTAL, Luna august 2007, Procente, 64.7
TOTAL, Luna septembrie 2007, Procente, 68.8
TOTAL, Luna octombrie 2007, Procente, 76.4
TOTAL, Luna noiembrie 2007, Procente, 75.7
TOTAL, Luna decembrie 2007, Procente, 64.4
TOTAL, Luna ianuarie 2008, Procente, 67.1
TOTAL, Luna februarie 2008, Procente, 72.9
TOTAL, Luna martie 2008, Procente, 74.5
TOTAL, Luna aprilie 2008, Procente, 71.2
TOTAL, Luna mai 2008, Procente, 75.8
TOTAL, Luna iunie 2008, Procente, 74.2
TOTAL, Luna iulie 2008, Procente, 74.7
TOTAL, Luna august 2008, Procente, 63.6
TOTAL, Luna septembrie 2008, Procente, 75.1
TOTAL, Luna octombrie 2008, Procente, 77.3
TOTAL, Luna noiembrie 2008, Procente, 68.6
TOTAL, Luna decembrie 2008, Procente, 56.3
TOTAL, Luna ianuarie 2009, Procente, 56.1
TOTAL, Luna februarie 2009, Procente, 62.3
TOTAL, Luna martie 2009, Procente, 68.2
TOTAL, Luna aprilie 2009, Procente, 64
TOTAL, Luna mai 2009, Procente, 68.2
TOTAL, Luna iunie 2009, Procente, 70.9
TOTAL, Luna iulie 2009, Procente, 71.6
TOTAL, Luna august 2009, Procente, 60
TOTAL, Luna septembrie 2009, Procente, 72.6
TOTAL, Luna octombrie 2009, Procente, 75.3
TOTAL, Luna noiembrie 2009, Procente, 72.2
TOTAL, Luna decembrie 2009, Procente, 62.9
TOTAL, Luna ianuarie 2010, Procente, 60.6
TOTAL, Luna februarie 2010, Procente, 63.7
TOTAL, Luna martie 2010, Procente, 73.5
TOTAL, Luna aprilie 2010, Procente, 67.8
TOTAL, Luna mai 2010, Procente, 70.1
TOTAL, Luna iunie 2010, Procente, 74.3
TOTAL, Luna iulie 2010, Procente, 73.1
TOTAL, Luna august 2010, Procente, 60.7
TOTAL, Luna septembrie 2010, Procente, 76.6
TOTAL, Luna octombrie 2010, Procente, 78.2
TOTAL, Luna noiembrie 2010, Procente, 78.9
TOTAL, Luna decembrie 2010, Procente, 71.1
TOTAL, Luna ianuarie 2011, Procente, 69
TOTAL, Luna februarie 2011, Procente, 72.3
TOTAL, Luna martie 2011, Procente, 81.9
TOTAL, Luna aprilie 2011, Procente, 72.2
TOTAL, Luna mai 2011, Procente, 78.4
TOTAL, Luna iunie 2011, Procente, 76.3
TOTAL, Luna iulie 2011, Procente, 75.8
TOTAL, Luna august 2011, Procente, 70
TOTAL, Luna septembrie 2011, Procente, 81.2
TOTAL, Luna octombrie 2011, Procente, 81.1
TOTAL, Luna noiembrie 2011, Procente, 83.3
TOTAL, Luna decembrie 2011, Procente, 70.5
TOTAL, Luna ianuarie 2012, Procente, 71.7
TOTAL, Luna februarie 2012, Procente, 73.4
TOTAL, Luna martie 2012, Procente, 82.1
TOTAL, Luna aprilie 2012, Procente, 72.8
TOTAL, Luna mai 2012, Procente, 82.6
TOTAL, Luna iunie 2012, Procente, 77.8
TOTAL, Luna iulie 2012, Procente, 78.9
TOTAL, Luna august 2012, Procente, 71.2
TOTAL, Luna septembrie 2012, Procente, 80.7
TOTAL, Luna octombrie 2012, Procente, 86.2
TOTAL, Luna noiembrie 2012, Procente, 85.2
TOTAL, Luna decembrie 2012, Procente, 71.3
TOTAL, Luna ianuarie 2013, Procente, 76
TOTAL, Luna februarie 2013, Procente, 78.7
TOTAL, Luna martie 2013, Procente, 83.2
TOTAL, Luna aprilie 2013, Procente, 87.3
TOTAL, Luna mai 2013, Procente, 81.2
TOTAL, Luna iunie 2013, Procente, 82
TOTAL, Luna iulie 2013, Procente, 88.1
TOTAL, Luna august 2013, Procente, 74.3
TOTAL, Luna septembrie 2013, Procente, 89
TOTAL, Luna octombrie 2013, Procente, 95.9
TOTAL, Luna noiembrie 2013, Procente, 93
TOTAL, Luna decembrie 2013, Procente, 78.6
TOTAL, Luna ianuarie 2014, Procente, 83.7
TOTAL, Luna februarie 2014, Procente, 86.3
TOTAL, Luna martie 2014, Procente, 92.2
TOTAL, Luna aprilie 2014, Procente, 88.5
TOTAL, Luna mai 2014, Procente, 91.5
TOTAL, Luna iunie 2014, Procente, 90.6
TOTAL, Luna iulie 2014, Procente, 93
TOTAL, Luna august 2014, Procente, 74.2
TOTAL, Luna septembrie 2014, Procente, 94.7
TOTAL, Luna octombrie 2014, Procente, 99.4
TOTAL, Luna noiembrie 2014, Procente, 93.3
TOTAL, Luna decembrie 2014, Procente, 81.1
TOTAL, Luna ianuarie 2015, Procente, 85.7
TOTAL, Luna februarie 2015, Procente, 88.3
TOTAL, Luna martie 2015, Procente, 95.5
TOTAL, Luna aprilie 2015, Procente, 88.9
TOTAL, Luna mai 2015, Procente, 90.2
TOTAL, Luna iunie 2015, Procente, 92.9
TOTAL, Luna iulie 2015, Procente, 96.2
TOTAL, Luna august 2015, Procente, 83.1
