"Perioada","TOTAL","INDUSTRIA EXTRACTIVA","Extractia carbunelui superior si inferior","Extractia petrolului brut  si  a gazelor naturale","Extractia minereurilor metalifere","Alte activitati extractive","Activitati de servicii anexe extractiei","INDUSTRIA PRELUCRATOARE","Industria  alimentara","Fabricarea bauturilor","Fabricarea  produselor din tutun","Fabricarea  produselor textile","Fabricarea articolelor de imbracaminte","Tabacirea si finisarea pieilor  fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei  prepararea si vopsirea blanurilor","Prelucrarea lemnului  fabricarea produselor din lemn si pluta cu exceptia  mobilei  fabricarea articolelor din paie si din alte materiale vegetale impletite","Fabricarea hirtiei si a produselor din hirtie","Tiparire si reproducerea pe suporturi a inregistrarilor","Fabricarea  produselor de cocserie si a produselor obtinute din prelucrarea titeiului","Fabricarea substantelor si a produselor chimice","Fabricarea  produselor farmaceutice de baza si a preparatelor farmaceutice","Fabricarea  produselor din cauciuc si mase plastice","Fabricarea altor produse din minerale nemetalice","Industria metalurgica","Industria constructiilor metalice si a produselor din metal exclusiv masini  utilaje si instalatii","Fabricarea calculatoarelor si a produselor electronice si optice","Fabricarea echipamentelor electrice","Fabricarea de masini   utilaje  si echipamente n.c.a","Fabricarea autovehiculelor de transport rutier  a remorcilor  si semiremorcilor","Fabricarea altor mijloace de transport","Fabricarea de mobila","Alte activitati industriale n.c.a","Repararea  intretinerea si instalarea masinilor si echipamentelor","PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT","Productia si furnizarea de energie electrica si termica  gaze  apa calda si aer conditionat","Industria bunurilor intermediare","Industria bunurilor de capital","Industria bunurilor de folosinta indelungata","Industria bunurilor de uz curent","Industria energetica","Extractiva si prelucratoare","Extractiva si prelucratoare (excl. diviz. 10 11 12)","Industrie extractiva si prelucratoare (excl. industria energetica)","Extractiva si prelucratoare (excl. diviz 5 6 10 11 12 19)","Industria bunurilor de consum","Industria bunurilor de consum (excl.diviz 10 11 12)","Industria energetica excl. diviz 35 (numai diviz 5 6 19)","Industrie total (excl. diviz 10 11 12)"
"2005-01",52.2,136.8,181.4,164.5,282.5,38.9,119.2,45.2,43.8,52.2,57.6,122.6,410.3,266.6,55.9,42.7,83,121,59.3,71.2,25.5,22.2,139.4,53.2,29.6,13.4,47.5,21,82.3,84.6,81.5,115.2,92.8,92.8,39.5,31.8,50.2,87.8,106.5,48.4,49.1,44.6,44.8,78.6,122.6,149.1,53.3
"2005-02",53.2,127.8,171.9,154,281.1,40.3,102.2,46.9,46.5,52.3,53.8,129.8,416.3,277.5,54.4,41.8,88.8,107.9,60.3,66.6,27.9,23.4,135.9,57.3,31.6,13.3,48.9,22.7,85.3,103.1,87.7,113.3,90.2,90.2,40.2,33.5,59.9,90.5,101.5,49.7,50.3,46.5,46.6,83,130.2,137.4,54.2
"2005-03",60.2,144.8,213.1,165.3,301.2,69.6,110.5,54.1,59.2,78.7,75.7,138.8,438.9,292.8,64.6,40.4,95.3,131.5,80.7,66.4,30.6,35.7,150.7,64.2,34.4,15.8,56.1,25.5,89.8,101.1,100,133.1,91,91,47.2,37.8,59.2,107.4,107.8,57.3,56.7,53.6,52.3,95.6,135.4,158.5,59.9
"2005-04",57.6,136.4,195.8,152,314.7,81.9,103.5,52.6,56,76.6,39.9,128.8,382.5,318.6,61.6,39.8,96.8,117.8,80.7,59.5,33.2,46.2,143.2,64.3,35,14.2,50.7,24,86.6,101.3,105.1,123.9,80.2,80.2,47.6,36.1,59.3,102.2,96.3,55.5,55.1,52.3,51.3,91.7,130.7,144.3,57.4
"2005-05",55.6,136,175.1,150.2,299,91,121.8,50.9,50,69.4,48.3,125.2,392.2,276.1,60.1,39,99.4,106,81.8,63.3,31,48.8,132.3,61.9,31.6,13.3,51.5,25.5,87.8,90.3,98.4,125.4,73.9,73.9,46.5,37.1,54.2,95.6,89.4,53.9,54.2,51,50.8,85.5,125.4,135.4,56
"2005-06",58.7,132.9,139.3,145.6,295.5,100.3,144.2,54.6,51.5,75.4,61.9,144.1,436,310.8,61.9,41.5,107.2,134.4,73.5,72,33.8,52.6,121.5,62.3,36.8,14.9,53.3,28.7,88.4,90.2,91.5,158.3,72.6,72.6,48.7,40.3,55.4,103,90.2,57.4,57.8,54.3,54.3,91.3,135.7,141.6,59.1
"2005-07",55.7,139.2,156.5,149.4,308.2,100.4,153.5,51.1,48,77.7,54.8,120.7,433.3,282.9,65.1,39.9,104.1,128.6,78.5,53.1,33.4,52.2,114.6,63,40.3,14.6,47.6,22.7,90.2,75.9,105.7,121.4,71.4,71.4,48,36.1,45.3,97.7,89.7,54.2,54.5,51,50.7,84.8,123,142.8,56
"2005-08",54.6,141.8,170.5,146.5,317.3,104.7,160.6,49.6,54.3,85,59.6,98.5,377.7,235.7,59.8,41.1,111.2,144.4,79.3,49,34.4,56.1,126.5,63.7,31.2,13.6,48,16.2,86.2,84.7,93.9,135.4,74.1,74.1,48.3,30.6,51.8,98.2,93.8,52.8,51.8,49.2,47.6,86.8,117.5,150.7,53.9
"2005-09",60.8,148.5,192.1,142.9,312,112.8,188.2,56.3,56.2,79.8,56.1,135.1,407.7,280.1,68.2,43.4,99.5,138.5,79.8,59.8,34.9,55.4,130.5,70.4,43,15.8,52.3,28.5,94.3,95.8,116.7,130.8,73.8,73.8,51.5,41.6,59.5,103.6,93.2,59.6,59.6,56.3,55.8,92.8,131.8,149.4,60.9
"2005-10",59.9,148.9,187.6,148.6,294.3,115.8,178.4,54.8,63.2,71.6,56.3,128.6,398.5,250.3,63.3,43.3,109,98.4,71.7,55.9,35.4,54.9,136.2,62.8,39.7,17.2,48.2,28.2,93,93.3,110,133.9,80,80,51.3,39.5,58.3,104.3,93.1,58.1,57.4,55.4,54.2,93,126.8,132.9,59.5
